"review_title","review_text","review_star","page"
"







  
  
    bad bettery condition<U+3002>
  
","









  
  
    
  this is a used iphone<U+3002>everythings is ok,but bettery life down to only 80%<U+3002>i have to renew a new one later and i throw away charge adapter to trash can<U+3002>

  
","2.0 out of 5 stars",62
"







  
  
    iPhone great other than battery life
  
","









  
  
    
  This phone works great refurbished, the only complaint is the battery life (only 80% max left after its original use). But all things considered, this phone was a fantastic value, works great, and I can deal with needing to charge it once a day. Probably still cheaper to replace the battery than try to buy the same phone brand new.

  
","4.0 out of 5 stars",62
"







  
  
    A+++++ Great device
  
","









  
  
    
  Super fast delivery ordered on Wednesday received phone on Thursday. iPhone 8 with minor wear to the device, fully operational battery, fully functional phone. Extremely satisfied with the phone provided.<U+0001F44D><U+0001F3FD><U+0001F44D><U+0001F3FD>

  
","5.0 out of 5 stars",62
"







  
  
    Iphone 8
  
","









  
  
    
  Believe this phone came from overseas because the camera shutter sound will not mute even with the silent switch on. Called Apple and they told me overseas phones have this feature that is not controlled.The battery life is at 82%. The cosmetic of the phone is outstanding and the phone did come in a apple box. Daughter can't get passed the shutter sound and battery life so we will are returning.

  
","4.0 out of 5 stars",62
"







  
  
    Not a great phone
  
","









  
  
    
  We had to return this IPhone8. We were excited for the purchase but within a week the touch bad was failing miserably.  Had to purchase an alternate phone from a different vendor.

  
","1.0 out of 5 stars",62
"







  
  
    Definitely refurbished
  
","









  
  
    
  Standard iPhone 8 working great only thing it came in a box that said mobile device phone on it total knock off really cheesy and the headphones and charging stuff was gone it was also very clear that it was refurbished

  
","4.0 out of 5 stars",62
"







  
  
    Best communication tool
  
","









  
  
    
  Good product

  
","4.0 out of 5 stars",142
"







  
  
    Great
  
","









  
  
    
  Good

  
","5.0 out of 5 stars",142
"







  
  
    Awesome!!
  
","









  
  
    
  Quickly arrived in excellent condition

  
","5.0 out of 5 stars",142
"







  
  
    Very satisfied.
  
","









  
  
    
  Problem occurred with the original purchased iPhone 8. Returned at no cost. Replacement was spot on. Easy communication. Very satisfied.

  
","5.0 out of 5 stars",142
"







  
  
    Great for the price
  
","









  
  
    
  Works like a champ. Haven't used the face recognition and haven't had it long enough to comment on the battery life.

  
","4.0 out of 5 stars",142
"







  
  
    Great phone, great deal, fast shipping
  
","









  
  
    
  Exactly what I ordered, inexpensive, and shipped really fast. Happy to have a new phone

  
","5.0 out of 5 stars",142
"







  
  
    Ok
  
","









  
  
    
  It’s a very nice phone but one problem the back camera shakes like out of control but it’s nice

  
","3.0 out of 5 stars",142
"







  
  
    Just as advertised
  
","









  
  
    
  My iPhone arrived in like new condition with no marks of any kind on the outside. The phone functions like new and I was able to insert my Verizon SIM card and use it with no issues on the Verizon network.

  
","5.0 out of 5 stars",142
"







  
  
    iPhone 8
  
","









  
  
    
  Love love love it!!!

  
","5.0 out of 5 stars",142
"







  
  
    Don’t do it!
  
","









  
  
    
  Phone lasted a whole hour....Home button broke .Don’t do it... these phones are JUNK!

  
","1.0 out of 5 stars",142
"







  
  
    return status
  
","









  
  
    
  Id like to know what exactly your talking about: I just got a message from amazon saying my return will be $50.00. I paid $279.9 plus taxes. This does not work for me. So, minus shipping cost to send back, I expect a full refund. Or I will  give you 1 star rating. Nothing wrong with the phone but I was too small to see it. When I get a full refund, I will give 5 stars

  
","1.0 out of 5 stars",111
"







  
  
    Looks and works like brand new
  
","









  
  
    
  This phone is in excellent condition.  It coulld be a brand new iphone.  Once I charged the battery set up only took minutes since I had backed up my iphone 6S and just needed to restore that backup to this new iphone 8.  I have been using it since then and can't find any defects.  Very pleased with my purchase.

  
","5.0 out of 5 stars",111
"







  
    Excelente precio por un buen celular .
  
  
","









  
    
  Lo compre para mi sobrina y todo funciona muy bien, solo que el face recognition no lo a usado ella . Por todo lo demás excelente condición por el precio . Gracias

  
  
","5.0 out of 5 stars",111
"







  
  
    Works great
  
","









  
  
    
  Phone was in new condition. Everything worked as advertised. Very happy with purchase.

  
","5.0 out of 5 stars",111
"







  
  
    Nice clean & no scratches
  
","









  
  
    
  Very pleased with my purchase so far. Battery life is excellent.

  
","5.0 out of 5 stars",111
"







  
  
    Work's well
  
","









  
  
    
  Shipped and received in a timely manner. Phone looks brand new and works like new. This was for the purchase of an iPhone 8.

  
","5.0 out of 5 stars",111
"







  
  
    Came damaged
  
","









  
  
    
  It arrived with the screen bulging out of the phone and visible gaps between the edge of the phone and the screen.

  
","1.0 out of 5 stars",111
"







  
    NO ME FUNCIONA EL CEL QUE COMPRE
  
  
","









  
    
  Por favor su ayuda, el celular que les compre  enciende pero no se ve nada en la pantalla.Es una pena que hago...Lo lleve a la tienda de aqui y me quieren cobrar 30 solo para revisarlo... por favor diganme que hago? Como hago?

  
  
","1.0 out of 5 stars",111
"







  
  
    The mic doesn’t work
  
","









  
  
    
  The mic doesn’t work and my mom has to use it with headphones in order to talk in the phone.

  
","4.0 out of 5 stars",111
"







  
  
    Good phone .
  
","









  
  
    
  This was a gift for my grandson and he is very happy with it.I Have heard nothing about any issues.

  
","5.0 out of 5 stars",111
"







  
  
    Looks great, but has problems with microphone
  
","









  
  
    
  Aesthetically the phone looks great, however there were some issues with the microphone. The phone is refurbished so I didn’t expect it to be perfect, but it’s been a struggle to make calls/record videos/ect. Would definitely be worth the money if it fully worked.

  
","2.0 out of 5 stars",110
"







  
  
    so far so good.
  
","









  
  
    
  seems to be working ok. as of now.

  
","5.0 out of 5 stars",110
"







  
  
    Not worth it
  
","









  
  
    
  Can see lot of scratches on front and back and battery life is at 88% and generic packing and no headphones either and generic cable.

  
","2.0 out of 5 stars",110
"







  
  
    It good phone but it has a microphone problem
  
","









  
  
    
  The phone is are but it have a problem of microphone

  
","3.0 out of 5 stars",110
"







  
  
    Will buy more products
  
","









  
  
    
  This was a great phones for the price.They work great and came with a screen protector.

  
","5.0 out of 5 stars",110
"







  
  
    Don’t buy from that seller
  
","









  
  
    
  Don’t buy from that seller, product is so bad it’s not worth the money

  
","1.0 out of 5 stars",110
"







  
  
    Iphone
  
","









  
  
    
  Great phone for the price

  
","5.0 out of 5 stars",110
"







  
  
    Great iPhone
  
","









  
  
    
  There was a minor error with the delivery. Showed it was delivered on the 3rd of this month but came on the 5th. (Assuming because of Easter weekend) Otherwise iphone performs like a brand new device. Battery life is great & came with everything that was expected.

  
","5.0 out of 5 stars",110
"







  
  
    Blessing
  
","









  
  
    
  This phone was for my mother. We got it for her after suffering a stroke. She loves the ease of use, facial recognition, battery life and the voice commands. This has been a blessing for her to keep in touch during her hospital stay!

  
","5.0 out of 5 stars",110
"







  
  
    Good buy
  
","









  
  
    
  Just got it today. Everything looks great so far. Working as intended. I will update at a later time if I remember.

  
","4.0 out of 5 stars",110
"







  
  
    Very great refurbished product!
  
","









  
  
    
  Great refurbished product, everything worked as it should and batteryCapacity 100%

  
","5.0 out of 5 stars",165
"







  
  
    good phone
  
","









  
  
    
  accurate description - easy set up and use

  
","5.0 out of 5 stars",165
"







  
  
    shipped a day late but was in perfect condition
  
","









  
  
    
  The phone just arrived (a Day late) but was in perfect condition. So far it is working perfectly and we are happy with the purchase.

  
","5.0 out of 5 stars",165
"







  
  
    Love it!
  
","









  
  
    
  I was hesitant to order from Amazon, worried that it would be a bad quality phone or have damages. I'm glad to say that it works wonderfully. I love my phone!!! No scratches, in mint condition. Battery level is 89%.

  
","5.0 out of 5 stars",165
"







  
  
    Pretty good
  
","









  
  
    
  It came working great, I haven’t used it long but everything seems to be working fine. A lot of these reviews discouraged me before buying but I don’t have any regrets. Will be returning tho because the 8 is pretty small and I’d like to have the plus.

  
","4.0 out of 5 stars",165
"







  
  
    Battery SUCKS
  
","









  
  
    
  Ordered this phone it arrived 2days ago, the phone will charge but once it gets to 70% it’s turns off until it’s put back on the charger.  Horrible device and will be sending it back..

  
","1.0 out of 5 stars",165
"







  
  
    Going.. Going.. Gone! HomeRun!
  
","









  
  
    
  Bought it renewed, it came in absolutely, surprisingly great condition for the price I paid! Legit I am in Awe. No returns today. I’m a happy camper and I’m EXTREMELY tough to satisfy.. ask my wife lol

  
","5.0 out of 5 stars",165
"







  
  
    Phone doesn't work
  
","









  
  
    
  I had to return the phone because it was frozen when I was setting up the phone and it doesn't restart either when I did so I had no option but to return the item.

  
","1.0 out of 5 stars",165
"







  
  
    HE LOVES IT!!
  
","









  
  
    
  My 14 year old son saved his money to purchase the iPhone. It was perfect for his price range and now he can facetime with his friends and sister.

  
","5.0 out of 5 stars",165
"







  
  
    Perfect condition! Just like a brand new...
  
","









  
  
    
  Phone arrive just like brand new! Other than the generic charger and cable which I expected from the description it’s been 2 weeks and working as expected!

  
","5.0 out of 5 stars",165
"







  
  
    Received locked, malfunctioning phone
  
","









  
  
    
  Wholly unimpressed with Amazon's 'renewed' service.-- I bought a phone compatible with T-Mobile, but our sims wouldn't work. After an extended support call we found out the phone was locked to a carrier in Japan. It was suggested that I could call them to ask for the phone to be unlocked... yeah no thanks.-- Also: The phone just randomly shuts off. Mid-use, and the phone's screen is black and the button is unresponsive. Nice job at 'renewing'.So whatever 'renewed' means to Amazon, it is not ""refurbished, functioning phone"". Returning it and shopping elsewhere.

  
","1.0 out of 5 stars",27
"







  
  
    So far so good
  
","









  
  
    
  The phone arrived clean and in 8.5/10 condition and would be mistaken for brand new if it weren’t for some extremely mild blemishing around the border (like super minor).I have no gripes about the phone so far and am considering another.My experience is obviously not going to be shared across the board and can only vouch for the first week’s impression but…so far so good. Time will tell <U+0001F937><U+0001F3FB>

  
","5.0 out of 5 stars",27
"







  
  
    Bluetooth was broken
  
","









  
  
    
  The Bluetooth feature is entirley broken.

  
","1.0 out of 5 stars",27
"







  
  
    About what I expected.
  
","









  
  
    
  I bought this phone to replace my grandmas iPhone she had. It came in a bland cardboard box with the phone in bubble wrap and the charging cable and charging wall plug wrapped up nicely but everything could shift around a lot in the box but luckily everything was safe and nothing broken. The batter life of the phone was at 91% meaning that was the max life of the battery so not too bad but a little low for my liking. Decent price, decent phone.

  
","4.0 out of 5 stars",27
"







  
  
    Unable to activate
  
","









  
  
    
  Unable to activate with T-Mobile like advertised. Tried over the phone with Tmobile and at the tmobile store with new sim card both new cards always said invalid sim card. Should have listened to the crappy reviews. Amazon Renew service is a joke.

  
","1.0 out of 5 stars",27
"







  
  
    Great Phone ! Brand New just didn’t have the storage as advertised!
  
","









  
  
    
  I love the phone but it was not 256G only 64G and I really wanted the phone for the storage. I could have gotten a cheaper phone by just getting the iPhone 6s that was advertised as 64G! I hate I didn’t get to save money since the phone is the exact phone I already had but I had already promised my little sister my old phone and didn’t want to make her wait by sending this one back for false advertising. Great quality and was boxed very professionally!

  
","3.0 out of 5 stars",27
"







  
  
    Great value!!
  
","









  
  
    
  Very happy with my purchase! I just “upgraded” from my refurbished,  unlocked iPhone 6 64GB, and this phone is a great value for the money. I could not justify shelling out more than $1,000 for a phone, so after researching i settled on the iPhone 8 64GB in gold.  I shopped around, and decided to purchase on amazon because of  the Amazon Renewed policy, as well as the ability to purchase 2 year accident protection. My phone arrived with a few very light scratches on the screen (as described), which doesn’t bother me one bit as I always add a glass screen protector. The speed and functionality are also perfect, and setup was easy.  The battery life is not as great as expected, but not enough of an issue to decrease the rating. I purchased from BREED. Highly recommend!

  
","5.0 out of 5 stars",27
"







  
  
    Bad battery
  
","









  
  
    
  This phone came in great condition. No scratches or marks. Easy to set up. But the battery life was horrible. It only had 79% capacity and I couldn’t even get it to charge passed 12% while using it. Lost about 30% of battery life in the ten min I used it. I would have kept the phone if it weren’t for the bad battery. Great packaging and even came with a like new charger. But what good is a phone with out a decent battery.

  
","1.0 out of 5 stars",27
"







  
  
    Came in fine condition.  Worked well until it died 6 weeks into ownership.
  
","









  
  
    
  This phone arrived and appeared as described--like new.  Easily accepted our carrier SIM and worked great....for 6 weeks.  Yesterday the phone suddenly died.  I reached out to amazon and they connected us with Apple.  They tried in vain for an hour to get it working again but couldn't.  Ultimately Amazon accepted it to return (it had the 90 renewed guarantee) and off it went by UPS today.We've had good luck with renewed items and this may have just been a fluke.  But we decided to buy a brand new Apple Xr phone instead.

  
","2.0 out of 5 stars",27
"







  
  
    Not happy
  
","









  
  
    
  This phone is not worth buying. The volume for talking on the phone is horrible. I can barely hear people talking to me. The people on the other end of the line are always telling me they can never hear me. When you get your notifications sometimes the sound is quiet sometimes the sound is super loud. When I close out an app and then turn the phone off and then come back to it later the screen will come up with something that I was doing three weeks ago and have since deleted

  
","2.0 out of 5 stars",27
"







  
  
    Thanks
  
","









  
  
    
  Works and looks great

  
","5.0 out of 5 stars",180
"







  
  
    Bs
  
","









  
  
    
  This is bs same to Amazon ! It can’t be turned on even after charging for an hour, it can’t be used at all! ! I wasted nearly ten days of waiting! ! ! !

  
","1.0 out of 5 stars",180
"







  
  
    Great Deal
  
","









  
  
    
  We received the phone and it was in brand new condition and works like a brand new phone! We have had no problems with it at all. We were so happy with it in fact, I bought a second one for my other daughter and it is just as good!

  
","5.0 out of 5 stars",180
"







  
  
    iPhone 8 Hybrid IT
  
","









  
  
    
  So, far my iphone 8 has been great, I order it from Hybrid IT and they sent it in 2 days, the phone came with no scratches or dents, I recommend buying from them

  
","5.0 out of 5 stars",180
"







  
  
    Like new
  
","









  
  
    
  Wonderful phone, just like new, long battery life, beautiful color

  
","5.0 out of 5 stars",180
"







  
  
    Brand new phone
  
","









  
  
    
  Basically got a new IPhone 8 at 250$ less. Battery life was at 96% capacity and not a single mark on the phone even though it was listed at A- quality. Definitely worth it.

  
","5.0 out of 5 stars",180
"







  
  
    Great phone
  
","









  
  
    
  I liked the phone. It worked with my phone company in Mexico.

  
","5.0 out of 5 stars",180
"







  
  
    I love this phone
  
","









  
  
    
  I bought this phone last year and still really work good till now .good camera I have picture  sample

  
","5.0 out of 5 stars",180
"







  
  
    ..
  
","









  
  
    
  I’m happy that I bought this phone. Camera and I love that I have so much space

  
","5.0 out of 5 stars",180
"







  
  
    Iphone 8 great price
  
","









  
  
    
  Fast delivery great condition.

  
","5.0 out of 5 stars",180
"







  
  
    Size
  
","









  
  
    
  Never used. Way too tiny. Returned. Needed a PLUS!

  
","1.0 out of 5 stars",176
"







  
  
    decent phone
  
","









  
  
    
  what my daughter wanted

  
","4.0 out of 5 stars",176
"







  
  
    Worst
  
","









  
  
    
  Never worked

  
","1.0 out of 5 stars",176
"







  
  
    NOT unlocked
  
","









  
  
    
  The phone was in great condition however it was not unlocked for T-mobile even though it was advertised that it would be. We called Amazon and they said the seller would contact us in 48 hrs. We received no call from the seller.

  
","1.0 out of 5 stars",176
"







  
  
    Great Phone!
  
","









  
  
    
  Great price, and good instructions for activating.

  
","5.0 out of 5 stars",176
"







  
  
    Charge your phone first.
  
","









  
  
    
  This phone came in perfect condition. I was a little scared about a refurbished iPhone but considering the price it was a great buy.

  
","4.0 out of 5 stars",176
"







  
  
    Very Satisfied!
  
","









  
  
    
  Bought this phone for my wife. Looks brand new and works great. Cant beat the price either.

  
","5.0 out of 5 stars",176
"







  
  
    It's as good as new.
  
","









  
  
    
  I can't tell it's not new.  Great value.

  
","5.0 out of 5 stars",176
"







  
  
    Very impressed
  
","









  
  
    
  Came earlier than expected, and in almost new condition. I was expecting an T-Mobile phone and that’s exactly what I got. My son is happy, so am I.

  
","5.0 out of 5 stars",176
"







  
  
    Spending more money to get phone to work right
  
","









  
  
    
  I had to change a new battery because it gave a service message on battery. The seller did a terrible job at replacing the cheap screen on the phone. It cost me $50 plus for replacing the battery.

  
","2.0 out of 5 stars",176
"







  
  
    The home button worked intermittently. I was so impressed with the sellers response I ordered again.
  
","









  
  
    
  My new (refurbished) iPhone works great. I’m extremely pleased with the size. This phone has remarkable features and memory. Prior to purchasing this phone I was using an iPhone SE.

  
","5.0 out of 5 stars",131
"







  
  
    Had to replace
  
","









  
  
    
  First one went haywire.  Sent it backWe haven't had the second long enough to make a clear call.

  
","3.0 out of 5 stars",131
"







  
  
    Perfect
  
","









  
  
    
  Bought this for my grandson for Christmas. Works perfect and has no issues! Thank you!!!!

  
","5.0 out of 5 stars",131
"







  
  
    Great!!
  
","









  
  
    
  Perfect..  great condition even though it is refurbished

  
","5.0 out of 5 stars",131
"







  
  
    Was NOT Unlocked
  
","









  
  
    
  I dislike that it is advertised as unlocked, when in fact it was not. They did accept my return and apologized.

  
","1.0 out of 5 stars",131
"







  
  
    Screen blacked out randomly
  
","









  
  
    
  It worked good for 2 months then completely blacked out for no reason. Still have yet to receive refund!

  
","1.0 out of 5 stars",131
"







  
  
    the earphone does not work right, I hear everything ...
  
","









  
  
    
  GREAT, LIKE NEW, ON time, PERFECT

  
","5.0 out of 5 stars",131
"







  
  
    Bad esn
  
","









  
  
    
  Couldn't even activate the phone. Now I gotta send it back... Uggggg

  
","1.0 out of 5 stars",131
"







  
  
    rose gold iphone 8
  
","









  
  
    
  it works as if a brand new one, came right away, aproximately 3 daysafter iorder. great.

  
","5.0 out of 5 stars",131
"







  
  
    Fine
  
","









  
  
    
  This product is good but what was cheaped out was that the phone literally dies after it is unplugged. And the finger print doesn’t work either. But other than that, everything is the same as the IPhone 7.

  
","3.0 out of 5 stars",131
"







  
  
    Don’t let these bad reviews scare you.
  
","









  
  
    
  Many people are saying the battery life is bad but I have had it for a month and ZERO problems. Great time connecting to WiFi. Completely unlocked and isn’t lagging. I was very stressed but it’s great.

  
","5.0 out of 5 stars",85
"







  
  
    Phone looked brand new, great value.
  
","









  
  
    
  Phone came shipped with a glass screen protector which is a nice touch. Product was everything I expected,  IOS says battery health is at 88% which is normal considering it’s age, overall very pleased with my purchase. Will definitely be buying from this merchant again when I need a new phone.

  
","5.0 out of 5 stars",85
"







  
  
    Excellent phone
  
","









  
  
    
  Excellent condition, works great and the battery holds up very well.

  
","5.0 out of 5 stars",85
"







  
  
    Exactly as described
  
","









  
  
    
  Received in excellent shape, looks new and works fine. No Problems!

  
","5.0 out of 5 stars",85
"







  
  
    Defective item!
  
","









  
  
    
  Unable to hear through ear piece!Also new software shows orange dot near battery when I make phone calls. I researched it and this mean someone is listening to my phone calls!

  
","1.0 out of 5 stars",85
"







  
  
    Always freezing up on me
  
","









  
  
    
  Only had this phone for 3 months. Its already acting up. Constantly freezing up and dropping calls. My screen goes blank and I had to force restart this phone multiple times. Dont waist your money

  
","1.0 out of 5 stars",85
"







  
  
    Phone will not turn on
  
","









  
  
    
  I am returning the phone because it won't turn on, please contact me on when you will send me a new one or return the money I spent

  
","1.0 out of 5 stars",85
"







  
  
    Renewed Product Good As New
  
","









  
  
    
  A major upgrade from my iPhone 4 which died after many years of use. I use a phone to talk to people, text,  and play Solitaire so I didn’t want to spend a lot of money on a new model so this was perfect.

  
","5.0 out of 5 stars",85
"







  
  
    Shattered glass
  
","









  
  
    
  After receiving I noticed that the envelope and box was a little damaged. After opening I noticed that the front glass and camera were fine but the back glass was completely shattered and the phone was already logged into another Apple ID. Everything else seemed to work fine but I promptly returned the product and am awaiting a refund.

  
","1.0 out of 5 stars",85
"







  
  
    We can trust iAmazon when buying Apple products!!
  
","









  
  
    
  So far the phone has performed very well as expected from an Apple product. Perhaps it’s too early to evaluate the battery issue.We are happy with this product.

  
","5.0 out of 5 stars",85
"







  
  
    Beware of Renewed Phones
  
","









  
  
    
  Was extremely happy with the phone out of the box.  No damage to it whatsoever. I live in Poland but bought it when back in the States for vacation.  Was acting weird with my Polish sim card in the US but chalked this up to the fact I was in a different country than my sim card.  Got back to Poland, and problems continued.  85% of the time I have no service (phone or internet), even though I have an unlimited plan.  Even when in a safe wifi area, I have no service.  Basically, I'm without a phone if I don't have wifi to use whatsapp or messenger.  Phone is useless.  Very disappointed.

  
","1.0 out of 5 stars",29
"







  
  
    Renewed standard hard to meet.
  
","









  
  
    
  This is a better iPhone than the 7S and any before it and at same time it’s not a better phone than 8S or any that have come since.I think the renewed standard has set a high bar, one which was not met with my order. There is a visible scratch on the screen that can be seen at an arms reach. I’m not sending it back to wait phoneless for a new one, but I think it’s a valid complaint. One that is probably common in occurrence but not often acted upon.Otherwise the screen graphics and interface is really nice, the processor doesn’t leave me wanting, and all these things are known by almost all iPhone owners. My review is about Renewed, and the difficult standard set that may offer more than what this particular  supplier is able to provide.

  
","4.0 out of 5 stars",29
"







  
  
    Not worth it.
  
","









  
  
    
  It worked fine until a month ago when the speakers started going out on it. I could hear decently on speaker phone when calls were placed but now they’re not very loud at all and I have to hold the speaker to my ear. Couldn’t even last a year.

  
","1.0 out of 5 stars",29
"







  
  
    iphone 8 does the job
  
","









  
  
    
  i love that amazon (or whoever they sub this out to) gave a warranty, that was one of the main reasons i purchased.  Plus cost was cheaper than Best Buy.  Not sure if this has to do w the phone, but my email is slow to load.  I also dont like the fact that i cant plug normal headset in without adapter, but that is apples issue.  Overall the phone was a good decision to purchase and i have no problems.  ( I was forced to buy newer cause iphone 6 doesnt upgrade anymore to latest IOS)

  
","4.0 out of 5 stars",29
"







  
  
    Not worth it
  
","









  
  
    
  Wouldn't get any service. And not very cooperative service

  
","1.0 out of 5 stars",29
"







  
  
    Nah
  
","









  
  
    
  Got the device in and the charging port didn’t work. Jus save yourself the time n money n don’t do it. And it had a crack on the front screen

  
","1.0 out of 5 stars",29
"







  
  
    Going well so far...
  
","









  
  
    
  The iPhone 8 arrived within two days. Phone looks great like it’s brand new. It’s rose gold color. Received the phone yesterday and got wireless service for it today with AT&T. Nothing bad to say. There are many negative reviews on refurbished phones, but just do your homework and research before purchasing.

  
","5.0 out of 5 stars",29
"







  
  
    Nice Screen but small crack.
  
","









  
  
    
  The phone arrived in good condition, there is a small inner crack but I barely notice it, everything works well and for the price I am happy. It was easy enough to set up, I will update if anything changes. The battery charges fast, it was at 50% when it came and after 15 minutes of charging it was almost full. Looking forward to using this phone more!

  
","4.0 out of 5 stars",29
"







  
  
    Ended up 2 for 2 on broken phones
  
","









  
  
    
  We purchased two of these phones. One arrived with an LCD bleed, which at least allowed us to see the problem early enough to send it back in time for a refund. Please note that the problem was clearly visible as soon as the phone was turned on. It should have never been resold this way. The second phone would occasionally not connect to cellular data, a problem that got worse over time until it eventually stopped making and receiving calls altogether.I cannot stress enough the frustration you will likely feel at buying a ""refurbished"" phone that has seemingly not undergone any refurbishing. I'm sure others have had better luck of the draw, but there doesn't seem to be any quality control on what's being sent out. It is a waste of money and time, and you are better off not purchasing here.

  
","1.0 out of 5 stars",29
"







  
  
    DO NOT BUY! Fraudulent Phone
  
","









  
  
    
  I bought this phone, got it all setup, everything was good...until Verizon suspended my phone number because the Iphone 8 I purchased on Amazon was marked as fraudulent/stolen.  Returned right away but customer service didn't seem too bothered by the fact that it was a fraudulent item.

  
","1.0 out of 5 stars",29
"







  
  
    Looks like new!!
  
","









  
  
    
  It came with no scratches or cracks,looks like its brand new.It also came with an original apple charger (which was unexpected)but the only downside is that the charger that it came with didn’t work.

  
","5.0 out of 5 stars",163
"







  
  
    That it’s a nice phone for the price ,,I love it!!
  
","









  
  
    
  I love the phone but disappointed that the charger burnt out the first day for some reason ..dies kinda fast but it’s okay I can manage that !

  
","5.0 out of 5 stars",163
"







  
  
    not same item
  
","









  
  
    
  the problem is price was higher and not same item

  
","1.0 out of 5 stars",163
"







  
  
    Awesome
  
","









  
  
    
  This item has to be new and not refurbished!!!  Easy transfer and super fast delivery. Will definitely use again!

  
","5.0 out of 5 stars",163
"







  
  
    Good
  
","









  
  
    
  One small scratch on the screen <U+0001F641>

  
","4.0 out of 5 stars",163
"







  
  
    So far a great product at an excellent price
  
","









  
  
    
  Bought for my teenager she loves it so far a great product excellent price

  
","5.0 out of 5 stars",163
"







  
  
    Worth the price
  
","









  
  
    
  Going from a 6 to this worth the purchase this will last me a while and came in very good condition highly recommended especially if you have something older

  
","5.0 out of 5 stars",163
"







  
  
    Rephoned Trash
  
","









  
  
    
  Worst experience ever! Phone came to me with someone else’s information on it. I am currently still in the process of trying to get a refund.  If I could have said no star I would.

  
","1.0 out of 5 stars",163
"







  
  
    Góod deal
  
","









  
  
    
  An iPhone at a good price

  
","5.0 out of 5 stars",163
"







  
  
    minor cosmetic damage
  
","









  
  
    
  damage turned out the phone looked like it had been dragged through a gravel parking lot. We went no further after seeing that.

  
","1.0 out of 5 stars",163
"







  
  
    Great place to order from
  
","









  
  
    
  Was very happy with it <U+0001F60A>

  
","5.0 out of 5 stars",178
"







  
  
    Excellent!
  
","









  
  
    
  Great phone no issues!

  
","5.0 out of 5 stars",178
"







  
  
    DONT BUY THIS PHONE!!
  
","









  
  
    
  This phone keeps shutting down by itself its not dead it just shuts off when I don’t use it. Definitely need a refund ASAP.

  
","1.0 out of 5 stars",178
"







  
  
    Works
  
","









  
  
    
  Very satisfied!

  
","5.0 out of 5 stars",178
"







  
  
    Check the speakers!
  
","









  
  
    
  Came with blown out speakers. Easy to return though.

  
","3.0 out of 5 stars",178
"







  
  
    Great Buy!!!
  
","









  
  
    
  Was a bit skeptical but actually relieved to say that I am very pleased with my iPhone 8 almost couldn’t tell It was renewed so far anyway seems like everything is working just fine

  
","4.0 out of 5 stars",178
"







  
  
    What you expect from Apple
  
","









  
  
    
  Takes really good photos, my husband loves it!

  
","5.0 out of 5 stars",178
"







  
  
    Great buy!
  
","









  
  
    
  I ordered two phones, they both look and work like new. I went back and ordered another one. It came pretty quickly and same quality as the first two!

  
","5.0 out of 5 stars",178
"







  
  
    Bad experience
  
","









  
  
    
  i received my phone , i can say acceptable less scratch but the battery health ( Service ) , i paid big amount to replace in apple authorized service center

  
","3.0 out of 5 stars",178
"







  
  
    Great phone, received in good condition!
  
","









  
  
    
  The phone was in very good condition when I received it. Only one very minimal scratch on the side which is hardly noticeable. It has been working great ever since I got it! Occasionally it has some difficulty reading my fingerprint, but overall I am very happy with this purchase.

  
","5.0 out of 5 stars",178
"







  
  
    Buyer beware!!!
  
","









  
  
    
  My son opened this on Christmas and we took it to get it all set up and we found out it is still attached to someone else so now I have to return it and he has no phone. I’m sorry but people should not be able to sell these phones! If it’s truly being checked out then how can they not know it’s still on someone’s account. Also the person who had this phone still owed money on it. What a let down on Christmas!!!!!!

  
","1.0 out of 5 stars",76
"







  
  
    I would 150% recommend these phones.
  
","









  
  
    
  Came in and looks brand new.  Absolutely no problem setting it up.  Everything works great on it. I would buy again and recommend 150 %.

  
","5.0 out of 5 stars",76
"







  
  
    Bought phone to trade in.
  
","









  
  
    
  Overall the phone was a good purchase. Can’t give a fair review as I only bought it to trade in for an iPhone 12.

  
","5.0 out of 5 stars",76
"







  
  
    Rear camera lens jumping
  
","









  
  
    
  They didn’t even check the phone camera before selling it, I was lucky to try to take a picture and then realized the rear camera lens was jumping inside that you could hear a weird noise and the image jumping as well making impossible to take a picture or video. Thanks to Amazon I sent it back to them.

  
","1.0 out of 5 stars",76
"







  
  
    I feel ripped off
  
","









  
  
    
  I have a month using the phone. I was happy because at first it worked very well. But after a month the screen has turned black and does not react ... I have decided to return it but I have not been able to erase the personal information that is inside the phone. I need help, I feel ripped off.

  
","1.0 out of 5 stars",76
"







  
  
    Good improvement
  
","









  
  
    
  Great upgrade from 7! No problem migrating from old phone,? Looks great and works better than the 7!

  
","5.0 out of 5 stars",76
"







  
  
    Five Stars
  
","









  
  
    
  Honestly the phone looked pretty much brand new.

  
","5.0 out of 5 stars",76
"







  
  
    I'm not happy
  
","









  
  
    
  screen with small broken and the battery life not work. I'm not happy because the ad didn't say anything about the battery life and the little broken one on the screen

  
","1.0 out of 5 stars",76
"







  
  
    Like new
  
","









  
  
    
  Feels and looks like a brand new one.

  
","5.0 out of 5 stars",76
"







  
  
    Great
  
","









  
  
    
  I am using it now. It delivered fast with nice packing! I used my T mobile SIM card of my I phone 7 for it and it worked perfectly fine.I really did not expect the phone with this great condition as new one. I am so happy about it with 100 battery life too.

  
","5.0 out of 5 stars",76
